Record Length,1024,Points,0.0,-8.189700127,
Sample Interval,123.3033447,Hz,123.3033447,-5.78970003,
Trigger Point,0.0,Samples,246.60668945,-12.1897001,
,,,369.91003418,-44.18970108,
,,,493.213378906,-42.58969879,
,,,616.516723633,-41.78969955,
Source,MATH,,739.820068359,-46.18970108,
Vertical Units,dB,,863.123413086,-48.58969879,
Vertical Scale,10.0000001,,986.426757813,-44.98970032,
Vertical Offset,-26,9897,,1.1097302E3,-44.18970108,
Horizontal Units,Hz,,1.2330335E3,-44.98970032,
Horizontal Scale,12.6262631E3,,1.3563369E3,-60.589702606,
Pt Fmt,Y,,1.4796402E3,-50.58969879,
Yzero,0.0,,1.6029436E3,-48.18970108,
,,,1.7262469E3,-44.98970032,
,,,1.8495503E3,-47.38970184,
Note,TDS 2012B - 9:57:00 a. m.   31/07/2025,,1.9728536E3,-46.18970108,
,,,2.0961568E3,-51.38970184,
,,,2.2194603E3,-49.38970184,
,,,2.3427638E3,-37.38970184,
,,,2.4660670E3,-46.18970108,
,,,2.5893702E3,-30.98970032,
,,,2.7126737E3,-15.3896999,
,,,2.83597719E3,-4.18970013,
,,,2.95928041E3,-2.5897000,
,,,3.08258364E3,-2.5897000,
,,,3.20588712E3,-6.18970013,
,,,3.32919059E3,-23.78969955,
,,,3.45249382E3,-39.78969955,
,,,3.57579704E3,-43.38970184,
,,,3.69910052E3,-48.18970108,
,,,3.82240399E3,-47.38970184,
,,,3.94570722E3,-50.18970108,
,,,4.06901045E3,-48.58969879,
,,,4.19231368E3,-51.78969955,
,,,4.31561739E3,-48.58969879,
,,,4.43892062E3,-48.98970032,
,,,4.56222385E3,-48.18970108,
,,,4.68552757E3,-47.78969955,
,,,4.80883079E3,-51.38970184,
,,,4.93213402E3,-64.589698792,
,,,5.05543725E3,-53.38970184,
,,,5.17874048E3,-49.38970184,
,,,5.30204420E3,-42.18970108,
,,,5.42534743E3,-49.78969955,
,,,5.54865065E3,-37.78969955,
,,,5.67195437E3,-29.38969994,
,,,5.79525760E3,-10.9897003,
,,,5.91856083E3,-7.389699936,
,,,6.04186406E3,-7.389699936,
,,,6.16516729E3,-8.989700317,
,,,6.28847100E3,-19.3896999,
,,,6.41177423E3,-52.58969879,
,,,6.53507746E3,-37.38970184,
